HEAD,RELATION,TAIL
23价肺炎球菌多糖疫苗,to_treat,肺炎
肺炎,treated_by,23价肺炎球菌多糖疫苗
23价肺炎球菌多糖疫苗,to_treat,上呼吸道感染
上呼吸道感染,treated_by,23价肺炎球菌多糖疫苗
23价肺炎球菌多糖疫苗,to_treat,感染
感染,treated_by,23价肺炎球菌多糖疫苗
23价肺炎球菌多糖疫苗,adverse_reaction,皮疹
皮疹,adverse_reaction_of,23价肺炎球菌多糖疫苗
23价肺炎球菌多糖疫苗,adverse_reaction,肺炎
肺炎,adverse_reaction_of,23价肺炎球菌多糖疫苗
23价肺炎球菌多糖疫苗,adverse_reaction,呕吐
呕吐,adverse_reaction_of,23价肺炎球菌多糖疫苗
999,to_treat,发热
发热,treated_by,999
999,to_treat,上呼吸道感染
上呼吸道感染,treated_by,999
999,to_treat,感染
感染,treated_by,999
999,to_treat,咽喉炎
咽喉炎,treated_by,999
999皮炎平,adverse_reaction,感染
感染,adverse_reaction_of,999皮炎平
999皮炎平,adverse_reaction,真菌感染
真菌感染,adverse_reaction_of,999皮炎平
999皮炎平,adverse_reaction,皮炎
皮炎,adverse_reaction_of,999皮炎平
999皮炎平,adverse_reaction,瘙痒
瘙痒,adverse_reaction_of,999皮炎平
999皮炎平,adverse_reaction,瘙痒症
瘙痒症,adverse_reaction_of,999皮炎平
999皮炎平,to_treat,脂溢性皮炎
脂溢性皮炎,treated_by,999皮炎平
999皮炎平,to_treat,瘙痒症
瘙痒症,treated_by,999皮炎平
999皮炎平,to_treat,湿疹
湿疹,treated_by,999皮炎平
999皮炎平,to_treat,神经性皮炎
神经性皮炎,treated_by,999皮炎平
新生儿溶血病,contains_symptom,腹水
腹水,symptom_of,新生儿溶血病
新生儿溶血病,contains_symptom,黄疸
黄疸,symptom_of,新生儿溶血病
新生儿溶血病,contains_symptom,胸腔积液
胸腔积液,symptom_of,新生儿溶血病
新生儿溶血病,contains_symptom,水肿
水肿,symptom_of,新生儿溶血病
新生儿溶血病,contains_symptom,发热
发热,symptom_of,新生儿溶血病
新生儿溶血病,treated_by,人血丙种球蛋白
人血丙种球蛋白,to_treat,新生儿溶血病
