HEAD,RELATION,TAIL
少精症,caused_by,精索静脉曲张
精索静脉曲张,lead_to,少精症
少精症,contains_symptom,男性不育
男性不育,symptom_of,少精症
少精症,related_to,染色体异常
染色体异常,related_to,少精症
少精症,related_to,妇产科静脉血栓病
妇产科静脉血栓病,related_to,少精症
少精症,treated_by,齐多夫定拉米夫定
齐多夫定拉米夫定,to_treat,少精症
少精症,treated_by,他莫昔芬
他莫昔芬,to_treat,少精症
少精症,treated_by,麒麟丸
麒麟丸,to_treat,少精症
少精症,treated_by,复方玄驹胶囊
复方玄驹胶囊,to_treat,少精症
少精症,check_item,不孕不育检查
不孕不育检查,checked_for,少精症
免疫缺陷病,contains_symptom,贫血
贫血,symptom_of,免疫缺陷病
免疫缺陷病,contains_symptom,耳鸣
耳鸣,symptom_of,免疫缺陷病
免疫缺陷病,contains_symptom,充血性心力衰竭
充血性心力衰竭,symptom_of,免疫缺陷病
免疫缺陷病,contains_symptom,头晕
头晕,symptom_of,免疫缺陷病
免疫缺陷病,contains_symptom,食欲减退
食欲减退,symptom_of,免疫缺陷病
免疫缺陷病,contains_symptom,萎缩性胃炎
萎缩性胃炎,symptom_of,免疫缺陷病
免疫缺陷病,contains_symptom,食管癌
食管癌,symptom_of,免疫缺陷病
免疫缺陷病,contains_symptom,感染
感染,symptom_of,免疫缺陷病
免疫缺陷病,related_to,反复感染
反复感染,related_to,免疫缺陷病
免疫缺陷病,check_item,血常规检查
血常规检查,checked_for,免疫缺陷病
免疫缺陷病,treated_by,琥珀酸亚铁
琥珀酸亚铁,to_treat,免疫缺陷病
免疫缺陷病,treated_by,硫酸亚铁
硫酸亚铁,to_treat,免疫缺陷病
免疫缺陷病,treated_by,氧
氧,to_treat,免疫缺陷病
免疫缺陷病,complication_to,贫血
贫血,complication_to,免疫缺陷病
免疫缺陷病,related_to,月经过多
月经过多,related_to,免疫缺陷病
免疫缺陷病,related_to,红细胞增多症
红细胞增多症,related_to,免疫缺陷病
免疫缺陷病,related_to,出血
出血,related_to,免疫缺陷病
喉返神经损伤,complication_to,呼吸困难
呼吸困难,complication_to,喉返神经损伤
喉返神经损伤,contains_symptom,无力
无力,symptom_of,喉返神经损伤
喉返神经损伤,contains_symptom,......咳嗽
......咳嗽,symptom_of,喉返神经损伤
喉返神经损伤,contains_symptom,瘫痪
瘫痪,symptom_of,喉返神经损伤
喉返神经损伤,contains_symptom,呼吸困难
呼吸困难,symptom_of,喉返神经损伤
喉返神经损伤,related_to,脊柱畸形
脊柱畸形,related_to,喉返神经损伤
喉返神经损伤,related_to,甲状腺乳头状癌
甲状腺乳头状癌,related_to,喉返神经损伤
喉返神经损伤,related_to,尺神经损伤
尺神经损伤,related_to,喉返神经损伤
喉返神经损伤,treated_by,甲状腺片
甲状腺片,to_treat,喉返神经损伤
生理性黄疸,contains_symptom,黄疸
黄疸,symptom_of,生理性黄疸
生理性黄疸,related_to,母乳性黄疸
母乳性黄疸,related_to,生理性黄疸
生理性黄疸,related_to,感染
感染,related_to,生理性黄疸
生理性黄疸,related_to,肝功能衰竭
肝功能衰竭,related_to,生理性黄疸
生理性黄疸,related_to,非惊厥性se
非惊厥性se,related_to,生理性黄疸
生理性黄疸,related_to,新生儿黄疸
新生儿黄疸,related_to,生理性黄疸
生理性黄疸,related_to,钩端螺旋体病神经系统表现
钩端螺旋体病神经系统表现,related_to,生理性黄疸
生理性黄疸,related_to,前庭神经元炎
前庭神经元炎,related_to,生理性黄疸
眼球震颤,related_to,共济失调
共济失调,related_to,眼球震颤
眼球震颤,related_to,震颤
震颤,related_to,眼球震颤
眼球震颤,related_to,远视
远视,related_to,眼球震颤
眼球震颤,related_to,弱视
弱视,related_to,眼球震颤
眼球震颤,related_to,先天性白内障
先天性白内障,related_to,眼球震颤
眼球震颤,related_to,遗传性多发脑梗死性痴呆
遗传性多发脑梗死性痴呆,related_to,眼球震颤
眼球震颤,related_to,白内障
白内障,related_to,眼球震颤
颅内出血,related_to,脑动静脉畸形
脑动静脉畸形,related_to,颅内出血
颅内出血,related_to,糖尿病
糖尿病,related_to,颅内出血
颅内出血,related_to,脑梗
