Word,Is_know
，,0
的,0
了,0
是,0
不,0
？,0
有,0
。,0
我,0
吗,0
可以,0
吃,0
没有,0
问题,0
就,0
会,0
你,0
您,0
什么,0
好,0
也,0
这个,0
一,0
做,0
治疗,0
能,0
医生,0
都,0
显示,0
因,0
图片,0
无法,0
现在,0
隐私,0
多,0
）,0
（,0
在,0
好的,0
那,0
需要,0
如果,0
要,0
天,0
检查,0
岁,0
个,0
就是,0
不是,0
用,0
和,0
！,0
你好,0
去,0
呢,0
医院,0
很,0
症状,0
情况,0
还,0
次,0
手术,0
还是,0
谢谢,0
吧,0
看,0
说,0
药,0
没,0
后,0
月,0
、,0
一下,0
时间,0
一个,0
过,0
一般,0
对,0
啊,0
可能,0
到,0
女,0
怎么,0
给,0
两,0
大,0
哦,0
正常,0
建议,0
嗯,0
这种,0
再,0
男,0
还有,0
长,0
但是,0
看看,0
药物,0
严重,0
感觉,0
几,0
引起,0
应该,0
比较,0
上,0
时候,0
影响,0
多久,0
客气,0
太,0
注意,0
的话,0
等,0
效果,0
喝,0
请问,0
不要,0
.,0
这样,0
或者,0
宝宝,0
知道,0
查,0
下,0
想,0
疼,0
是的,0
来,0
先,0
平时,0
咨询,0
周,0
三,0
孩子,0
得,0
这,0
又,0
复查,0
点,0
目前,0
今天,0
结果,0
高,0
考虑,0
然后,0
因为,0
主要,0
不用,0
之前,0
一直,0
才,0
自己,0
他,0
嗯嗯,0
已经,0
口服,0
评价,0
有点,0
把,0
出现,0
月经,0
以后,0
饮食,0
出来,0
所以,0
舒服,0
少,0
请,0
其他,0
大便,0
感染,1
那个,0
具体,0
为,0
最好,0
疼痛,1
但,0
咳嗽,1
回复,0
怀孕,0
：,0
左右,0
前,0
关系,0
开始,0
一定,0
让,0
原因,0
人,0
或,0
恢复,0
休息,0
年,0
一点,0
怎么办,0
导致,0
小,0
么,0
这是,0
种,0
一样,0
用药,0
晚上,0
3,0
多少,0
时,0
这些,0
满意,0
容易,0
我们,0
生活,0
中药,0
控制,0
吃药,0
身体,0
担心,0
最近,0
感冒,1
2,0
行,0
食物,0
每天,0
以前,0
跟,0
小时,0
明显,0
一些,0
像,0
不大,0
服用,0
可,0
没事,0
着,0
祝,0
痛,0
缓解,0
水,0
很多,0
出血,1
更,0
继续,0
从,0
复发,0
”,0
大夫,0
避免,0
“,0
问,0
呀,0
彩超,0
最,0
开,0
买,0
有的,0
发,0
特别,0
昨天,0
打,0
只是,0
她,0
观察,0
炎症,0
运动,0
快,0
如,0
1,0
这么,0
片,0
及时,0
发烧,0
觉得,0
解答,0
怎么样,0
东西,0
大概,0
怕,0
而且,0
刚,0
报告,0
