Word,Is_know
四肢麻木,1
咽部痛,1
咽部灼烧感,1
。,0
，,0
的,0
了,0
吃,0
不,0
？,0
有,0
是,0
吗,0
我,0
可以,0
没有,0
就,0
什么,0
你,0
一,0
好,0
会,0
多,0
也,0
您,0
次,0
好的,0
药,0
大便,0
）,0
谢谢,0
（,0
天,0
！,0
做,0
情况,0
过,0
都,0
医生,0
饮食,0
没,0
岁,0
和,0
感觉,0
这个,0
喝,0
点,0
那,0
去,0
现在,0
疼,0
很,0
你好,0
检查,0
个,0
症状,0
就是,0
、,0
还是,0
胃,0
肚子,0
建议,0
吧,0
如果,0
问题,0
食物,0
呢,0
要,0
能,0
还,0
一下,0
这种,0
在,0
两,0
不是,0
时间,0
客气,0
治疗,0
注意,0
有点,0
医院,0
几,0
女,0
需要,0
舒服,0
可能,0
正常,0
嗯,0
想,0
男,0
说,0
胃炎,1
痛,0
哦,0
胃镜,1
后,0
这,0
平时,0
啊,0
还有,0
东西,0
考虑,0
怎么,0
到,0
药物,0
上,0
大,0
最近,0
不要,0
请问,0
用,0
但是,0
看看,0
拉肚子,0
先,0
时候,0
对,0
一个,0
多久,0
引起,0
今天,0
太,0
应该,0
或者,0
长,0
再,0
看,0
拉,0
辛辣,0
规律,0
月,0
吐,0
以前,0
又,0
少,0
消化,0
服用,0
等,0
奥美,1
这样,0
恶心,1
三,0
晚上,0
一般,0
一直,0
其他,0
肠炎,1
开始,0
比较,0
刺激,0
肠道,0
吃药,0
便秘,1
的话,0
嗯嗯,0
拉唑,0
效果,0
每天,0
水,0
吃饭,0
腹泻,1
下,0
然后,0
疼痛,0
之前,0
缓解,0
前,0
不用,0
昨天,0
腹痛,1
肠镜,1
腹部,0
早上,0
得,0
严重,0
出来,0
但,0
知道,0
种,0
出现,0
片,0
呕吐,1
因为,0
给,0
口服,0
着,0
买,0
查,0
反酸,0
一点,0
清淡,0
祝,0
关系,0
事,0
经常,0
有时候,0
原因,0
打嗝,1
周,0
2,0
这是,0
回,0
腹胀,1
么,0
调理,0
油腻,0
或,0
避免,0
：,0
功能,0
难受,0
是的,0
生活,0
肠,0
觉得,0
小时,0
幽门,0
运动,0
影响,0
时,0
主要,0
水果,0
最好,0
排便,0
才,0
特别,0
为,0
3,0
容易,0
自己,0
痔疮,1
目前,0
年,0
跟,0
怎么办,0
有没有,0
左右,0
有时,0
吃完,0
里,0
胶囊,0
没事,0
这些,0
来,0
一些,0
感冒,1
蔬菜,0
喝酒,0
观察,0
慢性,0
肚脐,0
饭后,0
一样,0
段,0
行,0
发烧,0
开,0
血,0
以后,0
一定,0
生冷,0
怎么样,0
不适,0
像,0
明显,0
胃肠,0
导致,0
急性,0
一起,0
烧心,1
所以,0
半,0
咨询,0
每次,0
而且,0
很多,0
健康,0
不大,0
饭,0
刺激性,0
习惯,0
小,0
些,0
受凉,0
已经,0
起来,0
便,0
胃病,0
啥,0
早日,0
人,0
饿,0
休息,0
出血,0
吗丁啉,1
从,0
那个,0
胃疼,0
；,0
好像,0
排除,0
偶尔,0
大夫,0
之后,0
按,0
康复,0
疾病,0
莫沙必利,1
这几天,0
具体,0
担心,0
身体,0
肠胃,0
辣,0
消化不良,1
问,0
厉害,0
1,0
继续,0
螺杆菌,0
大概,0
中药,0
他,0
反流,1
厕所,0
调节,0
呀,0
紊乱,0
可,0
如,0
多少,0
与,0
胃胀,0
刚,0
",",0
适当,0
熬夜,0
把,0
高,0
别,0
更,0
高兴,0
位置,1
天一,0
只是,0
胀,0
感染,0
这两天,0
中午,0
粒,0
病,0
改善,0
下午,0
用药,0
月经,0
益生菌,1
感谢,0
尽量,0
胃痛,1
睡觉,0
解答,0
啦,0
及,0
无,0
复查,0
成型,0
请,0
持续,0
放屁,0
药店,0
快,0
该,0
比如,0
蒙脱石散,1
达喜,1
有些,0
可能性,0
保持,0
20,0
让,0
有关,0
发热,1
恩,0
胃部,0
好转,0
暂时,0
胀气,0
加重,0
不过,0
心情,0
加,0
那种,0
一阵,0
腹,0
打,0
为什么,0
?,0
恢复,0
怀孕,0
溃疡,0
雷贝拉唑,0
方面,0
整肠生,1
进食,0
有的,0
最,0
是否,0
根据,0
.,0
除了,0
必要,0
别的,0
手术,0
粥,0
怕,0
试试,0
颜色,0
另外,0
嘛,0
冷,0
上面,0
干,0
星期,0
饭前,0
胃酸,0
挺,0
希望,0
出,0
睡,0
蠕动,0
肛门,0
促进,0
突然,0
只,0
4,0
这么,0
颗粒,0
情绪,0
成形,0
体温,0
餐,0
部位,0
昨晚,0
那么,0
满意,0
同时,0
不行,0
里面,0
谢,0
明天,0
帮助,0
痉挛,1
明确,0
干净,0
停,0
胃肠道,0
作用,0
服药,0
活动,0
久,0
总,0
长期,0
炎症,0
第一,0
平常,0
总是,0
好多,0
后来,0
评价,0
第二,0
阿莫西林,1
彩超,0
非常,0
麻烦,0
空腹,0
表现,0
饱,0
两三,0
凉,0
易,0
头晕,1
随时,0
咖啡,0
忌,0
叫,0
坐,0
她,0
老是,0
都会,0
稀,0
只有,0
副作用,0
排,0
紧张,0
工作,0
四,0
基本,0
家里,0
之类,0
控制,0
嗳气,0
一点点,0
调整,0
次数,0
便常规,1
刚才,0
带,0
保暖,0
反应,0
拉稀,0
诊断,0
针对,0
发现,0
热水,0
涨,0
哪个,0
算,0
我们,0
按时,0
化验,0
压力,0
地方,0
好几,0
复方,0
清楚,0
刚刚,0
暴饮暴食,0
配合,0
热敷,0
精神,0
22,0
联系,0
咳嗽,1
及时,0
属于,0
24,0
敢,0
咕噜,0
如何,0
就诊,0
21,0
周围,0
完,0
孩子,0
只要,0
食欲,0
内科,0
黄连素,0
中,0
一会,0
治,0
办法,0
酸奶,0
前天,0
过敏,1
胃口,0
慢慢,0
放心,0
这次,0
牛奶,0
睡眠,0
5,0
总结,0
体重,0
轻微,0
问诊,0
胃肠功能紊乱,1
分钟,0
不好意思,0
23岁,0
粘液,0
描述,0
酒,0
去年,0
25,0
双歧杆菌,0
以,0
反复,0
比,0
28,0
硬,0
宁,0
以及,0
按压,0
首先,0
怎样,0
血常规,1
胃药,0
本次,0
期间,0
热,0
哈,0
抗生素,1
哪,0
下去,0
重要,0
才能,0
26,0
可是,0
菌群,0
以上,0
差不多,0
27,0
量,0
便血,1
更新,0
晚饭,0
不怎么,0
～,0
19,0
加上,0
浓茶,0
隐痛,0
浅表性,0
健胃消食片,1
18,0
造成,0
输液,0
右,0
还要,0
愉快,0
乳酸菌素,1
锻炼,0
……,0
并,0
阑尾炎,1
妇科,0
必须,0
小便,0
只能,0
“,0
稍微,0
为主,0
干燥,0
停药,0
异常,0
二,0
什么的,0
排气,1
哪些,0
肚脐眼,0
爱,0
减轻,0
一两,0
”,0
29,0
宝宝,0
要是,0
肉,0
焦虑,0
三四,0
早晨,0
推荐,0
食管炎,1
找,0
乳果糖,1
回复,0
喉咙,0
估计,0
B超,1
胀痛,0
好评,0
意思,0
食管,0
后面,0
性,0
胃溃疡,1
病情,0
肯定,0
方法,0
发作,0
+,0
病史,0
(,0
消化道,0
中医,0
胆汁,0
食品,0
放,0
增加,0
处理,0
喜欢,0
结,0
),0
杆菌,0
半年,0
瘦,0
老,0
较,0
水样,0
反胃,0
其它,0
抽烟,0
中间,0
哪里,0
说明,0
补充,0
作息,0
晚,0
十,0
黑色,0
确定,0
体检,0
养成,0
直接,0
隐隐,0
30岁,0
胆囊炎,1
黑便,1
今年,0
泮托拉唑,1
左边,0
10,0
对症,0
患者,0
年龄,0
上厕所,0
消炎,0
