Word,Is_know
，,0
的,0
：,0
。,0
是,0
？,0
了,0
不,0
有,0
我,0
吗,0
可以,0
您,0
医院,0
治疗,0
没有,0
一,0
做,0
）,0
（,0
医生,0
就,0
会,0
吃,0
需要,0
也,0
情况,0
好,0
病情,0
在,0
检查,0
、,0
和,0
你,0
手术,0
-,0
疾病,0
什么,0
无,0
填写,0
能,0
如果,0
帮助,0
现在,0
都,0
个,0
描述,0
！,0
希望,0
次,0
建议,0
天,0
这个,0
后,0
要,0
去,0
用,0
就诊,0
看,0
多,0
到,0
还是,0
谢谢,0
患病,0
月,0
不是,0
很,0
还,0
多久,0
内,0
药,0
可能,0
时间,0
想,0
问题,0
怀孕,0
好的,0
一下,0
病史,0
孩子,0
正常,0
症状,0
上,0
再,0
说,0
过,0
两,0
获得,0
就是,0
给,0
呢,0
周,0
长,0
是否,0
等,0
那,0
大,0
既往,0
时,0
一个,0
没,0
已,0
过敏史,0
2020,0
科室,0
目前,0
半年,0
及,0
怎么,0
2019,0
资料,0
药物,0
对,0
来,0
一般,0
下,0
应该,0
效果,0
用药,0
还有,0
请问,0
吧,0
但是,0
看看,0
感觉,0
但,0
这种,0
你好,0
复查,0
我们,0
时候,0
比较,0
结果,0
严重,0
请,0
影响,0
提供,0
未,0
几,0
考虑,0
或者,0
三,0
大夫,0
先,0
又,0
或,0
感谢,0
知道,0
的话,0
太,0
",",0
所,0
宝宝,0
前,0
2,0
查,0
根据,0
引起,0
主要,0
因为,0
一直,0
高,0
3,0
开始,0
注意,0
一些,0
已经,0
啊,0
出现,0
小,0
服用,0
原因,0
1,0
可,0
这样,0
今天,0
岁,0
大于,0
其他,0
之前,0
所以,0
门诊,0
左右,0
从,0
疼,0
为,0
月经,0
口服,0
这,0
发现,0
每天,0
年,0
最近,0
明显,0
详细,0
他,0
自己,0
片,0
感染,1
不要,0
如何,0
诊断,0
得,0
怎样,0
观察,0
才,0
有点,0
不用,0
晚上,0
然后,0
患者,0
把,0
继续,0
疼痛,1
咳嗽,1
让,0
控制,0
喝,0
以后,0
信任,0
；,0
种,0
点,0
出来,0
阅读,0
最好,0
更,0
与,0
.,0
大便,0
一定,0
恢复,0
像,0
得到,0
这是,0
中,0
一月,0
如,0
导致,0
平时,0
担心,0
该,0
中药,0
方法,0
少,0
很多,0
住院,0
b超,0
发病,0
第一,0
5,0
现有,0
人,0
一点,0
关系,0
主任,0
开,0
报告,0
这些,0
饮食,0
最,0
皮肤,0
号,0
化验,0
一样,0
问,0
小时,0
功能,0
客气,0
排除,0
特别,0
4,0
痒,0
以前,0
过敏,0
她,0
大概,0
图片,0
怎么办,0
出血,1
使用,0
